id,artifact_id,group_id,version,signature,method
com.btime.tinker+tinker-android-loader,com.btime.tinker,tinker-android-loader,0.0.01,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/tencent/tinker/loader/AndroidNClassLoader; findClass (Ljava/lang/String;)Ljava/lang/Class;]
com.btime.tinker+tinker-android-loader,com.btime.tinker,tinker-android-loader,0.0.02,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/tencent/tinker/loader/AndroidNClassLoader; findClass (Ljava/lang/String;)Ljava/lang/Class;]
com.btime.tinker+tinker-android-loader,com.btime.tinker,tinker-android-loader,0.0.03,Ldalvik/system/PathClassLoader;->loadClass(),[Lcom/tencent/tinker/loader/AndroidNClassLoader; findClass (Ljava/lang/String;)Ljava/lang/Class;]
com.bytedance.ttgame+gbaidu-sdk,com.bytedance.ttgame,gbaidu-sdk,1.4.0.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/baidu/mobstat/ae; a (Landroid/content/Context; Ljava/lang/String;)Ljava/lang/Class;]
com.bytedance.ttgame+gbaidu-sdk,com.bytedance.ttgame,gbaidu-sdk,1.4.0.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/baidu/sofire/core/d; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.bytedance.ttgame+gbaidu_game_sdk,com.bytedance.ttgame,gbaidu_game_sdk,1.6.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/baidu/mobstat/ae; a (Landroid/content/Context; Ljava/lang/String;)Ljava/lang/Class;]
com.bytedance.ttgame+optional_push_CnAligamesRelease,com.bytedance.ttgame,optional_push_CnAligamesRelease,0.0.7-alpha1,Ldalvik/system/PathClassLoader;->loadClass(),"[Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;, Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]"
com.bytedance.ttgame+optional_push_CnAligamesRelease,com.bytedance.ttgame,optional_push_CnAligamesRelease,1.0.9.3,Ldalvik/system/PathClassLoader;->loadClass(),"[Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;, Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]"
com.bytedance.ttgame+optional_push_CnAmigoRelease,com.bytedance.ttgame,optional_push_CnAmigoRelease,1.0.9.3,Ldalvik/system/PathClassLoader;->loadClass(),"[Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;, Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]"
com.bytedance.ttgame+optional_push_CnCoolpadRelease,com.bytedance.ttgame,optional_push_CnCoolpadRelease,1.0.9.3,Ldalvik/system/PathClassLoader;->loadClass(),"[Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;, Lg/optional/push/ct; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]"
