id,artifact_id,group_id,version,signature,method
Codeview-1.0.0+webviewcode,Codeview-1.0.0,webviewcode,1.0.0,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Lcom/protectsoft/webviewcode/Codeview; into (Landroid/webkit/WebView;)V]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.0.1,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Ladfactory/player/android/Utils/Html5WebVideoView; init ()V]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.0,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Ladfactory/player/android/Utils/Html5WebVideoView; init ()V]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.1.3,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Ladfactory/player/android/Utils/Html5WebVideoView; init ()V]
adfactory.me+adfactory_android,adfactory.me,adfactory_android,1.1.4,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Ladfactory/player/android/Utils/Html5WebVideoView; init ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.0,Landroid.webkit.WebSettings;->setJavaScriptEnabled,"[Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderOnWvActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; setWebSettings (Landroid/webkit/WebView;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5Activity; setWebSetting (Landroid/webkit/WebSettings;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.0,Landroid.webkit.WebView;->addJavascriptInterface,"[Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; onCreate (Landroid/os/Bundle;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.1,Landroid.webkit.WebSettings;->setJavaScriptEnabled,"[Lai/botbrain/ttcloud/sdk/activity/TsdH5Activity; setWebSetting (Landroid/webkit/WebSettings;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderOnWvActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; setWebSettings (Landroid/webkit/WebView;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.1,Landroid.webkit.WebView;->addJavascriptInterface,"[Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.2,Landroid.webkit.WebSettings;->setJavaScriptEnabled,"[Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5Activity; setWebSetting (Landroid/webkit/WebSettings;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; setWebSettings (Landroid/webkit/WebView;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderOnWvActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.2,Landroid.webkit.WebView;->addJavascriptInterface,"[Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.3,Landroid.webkit.WebSettings;->setJavaScriptEnabled,"[Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderOnWvActivity; initWebView ()V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5Activity; setWebSetting (Landroid/webkit/WebSettings;)V, Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; setWebSettings (Landroid/webkit/WebView;)V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.3,Landroid.webkit.WebView;->addJavascriptInterface,"[Lai/botbrain/ttcloud/sdk/activity/TsdVideoPlayActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdJieCaoVideoActivity; onCreate (Landroid/os/Bundle;)V, Lai/botbrain/ttcloud/sdk/activity/TsdH5ReaderActivity; initWebView ()V]"
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.1.0-alpha1,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Landroidx/test/espresso/web/action/EnableJavascriptAction; perform (Landroidx/test/espresso/UiController; Landroid/view/View;)V]
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.1.0-alpha1,Landroid.webkit.WebView;->evaluateJavascript,"[Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation$1; run ()V, Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation; apply (Landroidx/test/espresso/web/action/JavascriptEvaluation$PreparedScript;)Landroidx/test/espresso/web/internal/deps/guava/util/concurrent/ListenableFuture;]"
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.1.0-alpha2,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Landroidx/test/espresso/web/action/EnableJavascriptAction; perform (Landroidx/test/espresso/UiController; Landroid/view/View;)V]
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.1.0-alpha2,Landroid.webkit.WebView;->evaluateJavascript,"[Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation$1; run ()V, Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation; apply (Landroidx/test/espresso/web/action/JavascriptEvaluation$PreparedScript;)Landroidx/test/espresso/web/internal/deps/guava/util/concurrent/ListenableFuture;]"
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.5.0-alpha06,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Landroidx/test/espresso/web/action/EnableJavascriptAction; perform (Landroidx/test/espresso/UiController; Landroid/view/View;)V]
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.5.0-alpha06,Landroid.webkit.WebView;->evaluateJavascript,"[Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation; apply (Landroidx/test/espresso/web/action/JavascriptEvaluation$PreparedScript;)Landroidx/test/espresso/web/internal/deps/guava/util/concurrent/ListenableFuture;, Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation$1; run ()V]"
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.5.0-alpha07,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Landroidx/test/espresso/web/action/EnableJavascriptAction; perform (Landroidx/test/espresso/UiController; Landroid/view/View;)V]
androidx.test.espresso+espresso-web,androidx.test.espresso,espresso-web,3.5.0-alpha07,Landroid.webkit.WebView;->evaluateJavascript,"[Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation$1; run ()V, Landroidx/test/espresso/web/action/JavascriptEvaluation$AsyncJavascriptEvaluation; apply (Landroidx/test/espresso/web/action/JavascriptEvaluation$PreparedScript;)Landroidx/test/espresso/web/internal/deps/guava/util/concurrent/ListenableFuture;]"
app.ahelp+ahelp,app.ahelp,ahelp,0.0.1-ALPHA1,Landroid.webkit.WebSettings;->setJavaScriptEnabled,[Lapp/ahelp/MyActivityLifecycleCallbacks; onActivityCreated (Landroid/app/Activity; Landroid/os/Bundle;)V]
