id,artifact_id,group_id,version,signature,method
Polaris+polaris,Polaris,polaris,1.0-alpha,Lcom/google/android/gms/location/FusedLocationProviderClient;->getLastLocation,[Lproximity/geofencing/GeofenceMgr; getLastLocation (Landroid/content/Context;)V]
Polaris+polaris,Polaris,polaris,1.0-alpha,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,"[Lproximity/locationservices/LocationService$Companion; updateLocationRequest (Landroid/content/Context;)V, Lproximity/locationservices/LocationService$Companion; updateLocationRequest (Landroid/content/Context; I I)V, Lproximity/locationservices/LocationService; setup ()V]"
Polaris+polaris,Polaris,polaris,1.1-alpha,Lcom/google/android/gms/location/FusedLocationProviderClient;->getLastLocation,[Lproximity/geofencing/GeofenceMgr; getLastLocation (Landroid/content/Context;)V]
Polaris+polaris,Polaris,polaris,1.1-alpha,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,"[Lproximity/locationservices/LocationService$Companion; updateLocationRequest (Landroid/content/Context; I I)V, Lproximity/locationservices/LocationService$Companion; updateLocationRequest (Landroid/content/Context;)V, Lproximity/locationservices/LocationService; setup ()V]"
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.0,Landroid/location/LocationManager;->getLastKnownLocation,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.0,Landroid/location/LocationManager;->requestLocationUpdates,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.1,Landroid/location/LocationManager;->getLastKnownLocation,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.1,Landroid/location/LocationManager;->requestLocationUpdates,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.2,Landroid/location/LocationManager;->getLastKnownLocation,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.2,Landroid/location/LocationManager;->requestLocationUpdates,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.3,Landroid/location/LocationManager;->getLastKnownLocation,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
ai.botbrain.video+libraryTtc,ai.botbrain.video,libraryTtc,1.0.3,Landroid/location/LocationManager;->requestLocationUpdates,[Lai/botbrain/ttcloud/sdk/util/LocationUtils; getLocation ()V]
app.freel+locationfetcher-compose,app.freel,locationfetcher-compose,8.2.3,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/locationfetcher/compose/LocationFetcherKt$LocationProvider$location$2$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher-compose,app.freel,locationfetcher-compose,8.2.4,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/locationfetcher/compose/LocationFetcherKt$LocationProvider$location$2$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher-compose,app.freel,locationfetcher-compose,8.2.8,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/locationfetcher/compose/LocationProviderKt$produceLocation$2; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher-compose,app.freel,locationfetcher-compose,9.0.0,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/locationfetcher/compose/LocationProviderKt$produceLocation$2; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,7.0.0,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/ktx/LocationFlowsKt$locationFlowOf$4$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,7.0.0,Landroid/location/LocationManager;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/ktx/LocationFlowsKt$locationFlowOf$2$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,8.0.0-alpha07,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationFlowsKt$asFlow$2; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,8.0.0-alpha07,Landroid/location/LocationManager;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationFlowsKt$asFlow$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,8.2.2,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationContext$asFlow$2; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,8.2.2,Landroid/location/LocationManager;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationContext$asFlow$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,9.0.0,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationContext$asFlow$2; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
app.freel+locationfetcher,app.freel,locationfetcher,9.0.0,Landroid/location/LocationManager;->requestLocationUpdates,[Lcom/freelapp/libs/locationfetcher/impl/util/LocationContext$asFlow$1; invokeSuspend (Ljava/lang/Object;)Ljava/lang/Object;]
appice.io.android+sdk-p,appice.io.android,sdk-p,2.1.6,Landroid/location/LocationManager;->requestSingleUpdate,[Lsemusi/context/locationfinder/LocationBroadcastService; forceLocationUpdate ()Z]
at.bluesource.choicesdk+choicesdk-location,at.bluesource.choicesdk,choicesdk-location,0.1.1,Lcom/google/android/gms/location/FusedLocationProviderClient;->getLastLocation,[Lat/bluesource/choicesdk/location/gms/GmsFusedLocationProviderClient; getLastLocation ()Lat/bluesource/choicesdk/core/task/Task;]
at.bluesource.choicesdk+choicesdk-location,at.bluesource.choicesdk,choicesdk-location,0.1.1,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lat/bluesource/choicesdk/location/gms/GmsFusedLocationProviderClient; requestLocationUpdates (Lat/bluesource/choicesdk/location/common/LocationRequest; Landroid/app/PendingIntent;)Lat/bluesource/choicesdk/core/task/Task;]
at.bluesource.choicesdk+choicesdk-location,at.bluesource.choicesdk,choicesdk-location,0.1.1,Lcom/google/android/gms/location/FusedLocationProviderClient;->requestLocationUpdates,[Lat/bluesource/choicesdk/location/gms/GmsFusedLocationProviderClient; requestLocationUpdates (Lat/bluesource/choicesdk/location/common/LocationRequest; Lat/bluesource/choicesdk/location/common/LocationCallback; Landroid/os/Looper;)Lat/bluesource/choicesdk/core/task/Task;]
at.bluesource.choicesdk+choicesdk-location,at.bluesource.choicesdk,choicesdk-location,0.1.2,Lcom/google/android/gms/location/FusedLocationProviderClient;->getLastLocation,[Lat/bluesource/choicesdk/location/gms/GmsFusedLocationProviderClient; getLastLocation ()Lat/bluesource/choicesdk/core/task/Task;]
