id,artifact_id,group_id,version,permission,api,method
com.journeyOS+i007Service,com.journeyOS,i007Service,1.5.1.002,['android.permission.BLUETOOTH'],Landroid/bluetooth/BluetoothAdapter; getProfileConnectionState (I)I,"[Lcom/journeyOS/i007Service/core/detect/HeadSetMonitor$HeadSetPlugBroadcastReceiver; onReceive (Landroid/content/Context; Landroid/content/Intent;)V, Lcom/journeyOS/i007Service/core/detect/HeadSetMonitor; onStart ()V]"
com.journeyOS+i007Service,com.journeyOS,i007Service,1.5.1.002,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lcom/journeyOS/i007Service/core/detect/NetworkMonitor; isAvailable (Landroid/content/Context;)Z, Lcom/journeyOS/i007Service/core/detect/NetworkMonitor; getNetworkType (Landroid/content/Context;)Ljava/lang/String;]"
com.journeyOS+i007Service,com.journeyOS,i007Service,1.5.1.003,['android.permission.BLUETOOTH'],Landroid/bluetooth/BluetoothAdapter; getProfileConnectionState (I)I,"[Lcom/journeyOS/i007Service/core/detect/HeadSetMonitor$HeadSetPlugBroadcastReceiver; onReceive (Landroid/content/Context; Landroid/content/Intent;)V, Lcom/journeyOS/i007Service/core/detect/HeadSetMonitor; onStart ()V]"
com.journeyOS+i007Service,com.journeyOS,i007Service,1.5.1.003,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lcom/journeyOS/i007Service/core/detect/NetworkMonitor; getNetworkType (Landroid/content/Context;)Ljava/lang/String;, Lcom/journeyOS/i007Service/core/detect/NetworkMonitor; isAvailable (Landroid/content/Context;)Z]"
cn.andaction.nslib+nslib,cn.andaction.nslib,nslib,1.0.0,['android.permission.KILL_BACKGROUND_PROCESSES'],Landroid/app/ActivityManager; restartPackage (Ljava/lang/String;)V,[Lcn/andaction/nslib/CActivityStack; AppExit (Landroid/content/Context;)V]
com.microsoft.azure+notification-hubs-android-sdk,com.microsoft.azure,notification-hubs-android-sdk,1.1.5,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getAllNetworkInfo ()[Landroid/net/NetworkInfo;,[Lcom/microsoft/windowsazure/messaging/notificationhubs/NetworkStateHelper; isAnyNetworkConnected ()Z]
com.microsoft.azure+notification-hubs-android-sdk,com.microsoft.azure,notification-hubs-android-sdk,1.1.6,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getAllNetworkInfo ()[Landroid/net/NetworkInfo;,[Lcom/microsoft/windowsazure/messaging/notificationhubs/NetworkStateHelper; isAnyNetworkConnected ()Z]
com.ucweb.crashsdk+release,com.ucweb.crashsdk,release,2.1.0.4,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lcom/uc/crashsdk/a/c; d ()Landroid/net/NetworkInfo;]
com.ucweb.crashsdk+release,com.ucweb.crashsdk,release,2.1.0.4,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getAllNetworkInfo ()[Landroid/net/NetworkInfo;,[Lcom/uc/crashsdk/a/c; d ()Landroid/net/NetworkInfo;]
com.github.deepaktwr+bitframe,com.github.deepaktwr,bitframe,0.1.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lproj/me/bitframe/helper/Utils; hasNetwork (Landroid/content/Context;)Z]
com.github.deepaktwr+bitframe,com.github.deepaktwr,bitframe,0.1.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lproj/me/bitframe/helper/Utils; hasNetwork (Landroid/content/Context;)Z]
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.0.0,['android.permission.ACCESS_WIFI_STATE'],Landroid/net/wifi/WifiManager; getConnectionInfo ()Landroid/net/wifi/WifiInfo;,"[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; h (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;, Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; a (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]"
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.0.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; d (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;, Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; c (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]"
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.0.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; isActiveNetworkMetered ()Z,[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; e (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.1.0,['android.permission.ACCESS_WIFI_STATE'],Landroid/net/wifi/WifiManager; getConnectionInfo ()Landroid/net/wifi/WifiInfo;,"[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; a (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;, Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; g (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]"
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.1.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; c (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]
com.kochava.tracker+datapointnetwork,com.kochava.tracker,datapointnetwork,4.1.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; isActiveNetworkMetered ()Z,[Lcom/kochava/tracker/datapointnetwork/internal/DataPointCollectionNetwork; d (Landroid/content/Context;)Lcom/kochava/core/json/internal/JsonElementApi;]
