id,artifact_id,group_id,version,signature,method
axeldjaha.library+sms,axeldjaha.library,sms,1.1,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.2,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.3,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.4,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.1,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.2,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.3,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
axeldjaha.library+sms,axeldjaha.library,sms,1.4,Landroid/telephony/SmsManager;->sendMultipartTextMessage,[Laxeldjaha/sms/service/SendSmsService; sendSMS (Landroid/content/Intent;)V]
com.a360ground.medapay+payment-sms,com.a360ground.medapay,payment-sms,1.0,Landroid/telephony/SmsManager;->sendTextMessage,[La360ground/com/medapay/logic/packageSMS/model/MedaSmsManager; sendSms (Ljava/lang/String; Landroid/app/PendingIntent; Landroid/app/PendingIntent; Landroid/telephony/SmsManager;)V]
com.ambassador+ambassadorsdk,com.ambassador,ambassadorsdk,1.2.8,Landroid/telephony/SmsManager;->sendTextMessage,[Lcom/ambassador/ambassadorsdk/internal/activities/contacts/ContactSelectorActivity; handleSendSMS ()V]
com.ambassador+ambassadorsdk,com.ambassador,ambassadorsdk,1.2.9,Landroid/telephony/SmsManager;->sendTextMessage,[Lcom/ambassador/ambassadorsdk/internal/activities/contacts/ContactSelectorActivity; handleSendSMS ()V]
